Demographic,Payment method,Payments basis,Year,Usage
18-29,Cash,number,2007,67
18-29,Cash,number,2022,6
30-39,Cash,number,2007,61
30-39,Cash,number,2022,7
40-49,Cash,number,2007,68
40-49,Cash,number,2022,8
50-64,Cash,number,2007,72
50-64,Cash,number,2022,17
65+,Cash,number,2007,78
65+,Cash,number,2022,27
